kind,rank,scenarioKey,scenarioName,score,rowCount,metricCoverage,configuredMetricCount,metricCoverageShare,source
review,16,legislative-override-window,Time-limited legislative override window,0.667,20,16,18,0.889,Supreme Court Simulator Design
review,17,expanded-court-fifteen,Expanded 15-seat court,0.666,20,16,18,0.889,Supreme Court Simulator Design
review,18,accountability-retention-court,Retention-election accountability court,0.666,20,16,18,0.889,Supreme Court Simulator Design
review,19,term-limited-balanced,18-year staggered terms + regular appointments,0.666,20,16,18,0.889,Supreme Court Simulator Design
review,20,mandatory-written-emergency-reasoning,Mandatory written emergency reasoning,0.666,20,16,18,0.889,Supreme Court Simulator Design
review,21,legislative-override,Judicial review with legislative supermajority override,0.666,20,16,18,0.889,Supreme Court Simulator Design
review,22,supermajority-review,60 percent invalidation threshold,0.666,20,16,18,0.889,Supreme Court Simulator Design
review,23,recusal-and-emergency-reform,Peer recusal + reasoned emergency docket,0.665,20,16,18,0.889,Supreme Court Simulator Design
review,24,cross-checking-courts,Supreme court with cross-checking constitutional court,0.664,20,16,18,0.889,Supreme Court Simulator Design
review,25,dual-supreme-courts,Dual supreme courts with disagreement filter,0.655,20,16,18,0.889,Supreme Court Simulator Design
review,26,current-us-like,Stylized current U.S.-like supreme court,0.623,20,16,18,0.889,Supreme Court Simulator Design
anti_capture,1,full-anti-capture-bundle,Full anti-capture bundle,0.635,1,21,21,1.000,Lobby Capture Simulator
anti_capture,2,democracy-vouchers,Democracy vouchers,0.600,1,21,21,1.000,Lobby Capture Simulator
anti_capture,3,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,0.599,1,21,21,1.000,Lobby Capture Simulator
anti_capture,4,bundle-with-evasion,Anti-capture bundle with evasion,0.592,1,21,21,1.000,Lobby Capture Simulator
anti_capture,5,randomized-audit-sanctions,Randomized audit and sanctions,0.584,1,21,21,1.000,Lobby Capture Simulator
anti_capture,6,venue-shifting-detection,Venue-shifting detection,0.584,1,21,21,1.000,Lobby Capture Simulator
anti_capture,7,reform-threat-mobilization,Reform threat mobilization,0.580,1,21,21,1.000,Lobby Capture Simulator
anti_capture,8,audit-and-sanctions,Audit and sanctions,0.573,1,21,21,1.000,Lobby Capture Simulator
anti_capture,9,outside-spending-disclosure-evasion,Outside-spending disclosure evasion,0.572,1,21,21,1.000,Lobby Capture Simulator
anti_capture,10,real-time-transparency,Real-time transparency,0.569,1,21,21,1.000,Lobby Capture Simulator
anti_capture,11,opaque-network-substitution-frontier,Opaque network substitution frontier,0.558,1,21,21,1.000,Lobby Capture Simulator
anti_capture,12,public-finance-dark-money-frontier,Public-finance dark-money frontier,0.548,1,21,21,1.000,Lobby Capture Simulator
anti_capture,13,procurement-firewalls,Procurement firewalls,0.545,1,21,21,1.000,Lobby Capture Simulator
anti_capture,14,public-interest-representation-funds,Public-interest representation funds,0.545,1,21,21,1.000,Lobby Capture Simulator
anti_capture,15,public-advocate-office,Public advocate office,0.538,1,21,21,1.000,Lobby Capture Simulator
anti_capture,16,hard-lobbying-budgets,Hard lobbying budgets,0.533,1,21,21,1.000,Lobby Capture Simulator
anti_capture,17,procurement-venue-shift-stress,Procurement venue-shift stress,0.532,1,21,21,1.000,Lobby Capture Simulator
anti_capture,18,shadow-lobbying-maximum-stress,Shadow lobbying maximum stress,0.528,1,21,21,1.000,Lobby Capture Simulator
anti_capture,19,procurement-modification-capture-frontier,Procurement modification capture frontier,0.525,1,21,21,1.000,Lobby Capture Simulator
anti_capture,20,comment-authenticity-rules,Comment-authenticity rules,0.518,1,21,21,1.000,Lobby Capture Simulator
anti_capture,21,hard-budget-substitution-stress,Hard-budget substitution stress,0.515,1,21,21,1.000,Lobby Capture Simulator
anti_capture,22,machine-readable-meeting-logs,Machine-readable meeting logs,0.509,1,21,21,1.000,Lobby Capture Simulator
anti_capture,23,intermediary-substitution,Think-tank and association intermediaries,0.496,1,21,21,1.000,Lobby Capture Simulator
anti_capture,24,open-access-lobbying,Open access lobbying,0.492,1,21,21,1.000,Lobby Capture Simulator
anti_capture,25,advisory-lobbying-substitution,Advisory lobbying substitution,0.487,1,21,21,1.000,Lobby Capture Simulator
anti_capture,26,enforced-cooling-off,Enforced cooling-off periods,0.467,1,21,21,1.000,Lobby Capture Simulator
anti_capture,27,cooling-off-ban,Cooling-off ban,0.446,1,21,21,1.000,Lobby Capture Simulator
anti_capture,28,revolving-door-dominant,Revolving-door dominant,0.433,1,21,21,1.000,Lobby Capture Simulator
anti_capture,29,dark-money-dominant,Dark money dominant,0.431,1,21,21,1.000,Lobby Capture Simulator
anti_capture,30,low-salience-technical-rulemaking,Low-salience technical rulemaking,0.431,1,21,21,1.000,Lobby Capture Simulator
anti_capture,31,campaign-finance-dominant,Campaign finance dominant,0.429,1,21,21,1.000,Lobby Capture Simulator
