stressProfile,stressLabel,bridgeRank,caseKey,caseLabel,rationale,selectorSource,bridgeScore,balancedRank,balancedScore,averageDelivery,averageReviewDocketPressure,averageCorrectionRate,averageNetPolicyBenefit,finalPolicyQuality,finalPublicAlignment,finalCapturePressure,finalCorrectionBacklog,finalCourtCurbingPressure,finalLegitimacy,finalCompliance,cumulativeUsefulPolicy,cumulativeBadPolicyInflow,cumulativeUncorrectedPressure,baseResilienceFloor,failureModes,legislatureKey,legislature,reviewKey,review,antiCaptureKey,antiCapture
high-capture-pressure,High Capture Pressure,2,rights-capture-winner,Rights/capture winner,"Highest rights-first profile row, which weights rights while preserving capture resistance.",profile-sensitivity.csv rights-first rank 1,0.446,125,0.640,0.470,0.259,0.960,0.082,0.000,0.171,0.661,0.083,0.000,0.389,0.604,4.662,5.847,0.247,0.635,low policy quality; public alignment erosion; capture drift; legitimacy erosion,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
high-capture-pressure,High Capture Pressure,3,legitimacy-winner,Legitimacy-first winner,Highest legitimacy-first profile row.,profile-sensitivity.csv legitimacy-first rank 1,0.446,125,0.640,0.470,0.259,0.960,0.082,0.000,0.171,0.661,0.083,0.000,0.389,0.604,4.662,5.847,0.247,0.635,low policy quality; public alignment erosion; capture drift; legitimacy erosion,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
high-capture-pressure,High Capture Pressure,7,efficiency-caution,Efficiency caution case,"Highest efficiency-first profile row, included as a stress case for weak-floor risks.",profile-sensitivity.csv efficiency-first rank 1,0.165,348,0.631,0.505,0.651,0.314,-0.137,0.000,0.000,1.000,1.000,0.065,0.000,0.408,3.227,8.517,10.711,0.600,low policy quality; public alignment erosion; capture drift; uncorrected rights backlog; legitimacy erosion,default-pass,Default pass unless 2/3 block,emergency-restraint-court,No emergency relief without merits review,democracy-vouchers,Democracy vouchers
high-capture-pressure,High Capture Pressure,4,current-system-baseline,Current-system-ish baseline,Stylized current institutional package for comparison.,fixed baseline keys,0.304,33486,0.500,0.253,0.297,0.837,-0.044,0.000,0.000,1.000,0.120,0.000,0.129,0.514,1.255,4.474,1.160,0.419,weak starting floor; low policy quality; public alignment erosion; capture drift; legitimacy erosion; delivery bottleneck,current-system,Stylized U.S.-like conventional benchmark,current-us-like,Stylized current U.S.-like supreme court,open-access-lobbying,Open access lobbying
low-public-trust,Low Public Trust,1,balanced-winner,Balanced winner,Highest balanced portfolio score.,cumulative-government-portfolios.csv rank 1,0.675,1,0.656,0.550,0.147,0.992,0.252,0.313,0.513,0.000,0.026,0.000,0.581,0.587,7.896,4.089,0.028,0.554,weak starting floor,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
low-public-trust,Low Public Trust,6,robustness-winner,Robustness winner,Highest cross-profile robustness score.,portfolio-robustness.csv rank 1,0.663,267,0.635,0.472,0.120,1.000,0.219,0.267,0.504,0.000,0.023,0.000,0.585,0.621,6.769,3.382,0.000,0.635,no dominant failure mode,portfolio-hybrid-legislature,Portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
low-public-trust,Low Public Trust,3,minimax-regret-winner,Minimax-regret winner,Lowest maximum regret across configured value profiles.,portfolio-minimax-regret.csv rank 1,0.669,323,0.633,0.545,0.172,0.946,0.232,0.302,0.502,0.000,0.025,0.000,0.564,0.585,7.628,4.469,0.223,0.608,no dominant failure mode,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
low-public-trust,Low Public Trust,4,rights-capture-winner,Rights/capture winner,"Highest rights-first profile row, which weights rights while preserving capture resistance.",profile-sensitivity.csv rights-first rank 1,0.666,125,0.640,0.483,0.122,1.000,0.224,0.273,0.504,0.000,0.024,0.000,0.590,0.621,6.924,3.457,0.000,0.635,no dominant failure mode,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
low-public-trust,Low Public Trust,5,legitimacy-winner,Legitimacy-first winner,Highest legitimacy-first profile row.,profile-sensitivity.csv legitimacy-first rank 1,0.666,125,0.640,0.483,0.122,1.000,0.224,0.273,0.504,0.000,0.024,0.000,0.590,0.621,6.924,3.457,0.000,0.635,no dominant failure mode,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
low-public-trust,Low Public Trust,2,efficiency-caution,Efficiency caution case,"Highest efficiency-first profile row, included as a stress case for weak-floor risks.",profile-sensitivity.csv efficiency-first rank 1,0.672,348,0.631,0.574,0.212,0.879,0.217,0.308,0.486,0.000,0.027,0.000,0.549,0.594,7.668,5.123,0.616,0.600,no dominant failure mode,default-pass,Default pass unless 2/3 block,emergency-restraint-court,No emergency relief without merits review,democracy-vouchers,Democracy vouchers
low-public-trust,Low Public Trust,7,current-system-baseline,Current-system-ish baseline,Stylized current institutional package for comparison.,fixed baseline keys,0.426,33486,0.500,0.268,0.190,1.000,0.030,0.000,0.174,0.533,0.000,0.000,0.264,0.517,2.320,3.547,0.000,0.419,weak starting floor; low policy quality; public alignment erosion; legitimacy erosion; delivery bottleneck,current-system,Stylized U.S.-like conventional benchmark,current-us-like,Stylized current U.S.-like supreme court,open-access-lobbying,Open access lobbying
high-rights-threat,High Rights-Threat Environment,4,balanced-winner,Balanced winner,Highest balanced portfolio score.,cumulative-government-portfolios.csv rank 1,0.609,1,0.656,0.580,0.514,0.453,0.145,0.301,0.460,0.000,0.539,0.000,0.570,0.648,8.103,5.454,6.745,0.554,weak starting floor,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
high-rights-threat,High Rights-Threat Environment,3,robustness-winner,Robustness winner,Highest cross-profile robustness score.,portfolio-robustness.csv rank 1,0.714,267,0.635,0.514,0.256,0.896,0.213,0.307,0.526,0.000,0.000,0.000,0.701,0.742,7.588,4.309,0.638,0.635,no dominant failure mode,portfolio-hybrid-legislature,Portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
high-rights-threat,High Rights-Threat Environment,5,minimax-regret-winner,Minimax-regret winner,Lowest maximum regret across configured value profiles.,portfolio-minimax-regret.csv rank 1,0.495,323,0.633,0.559,0.702,0.304,0.044,0.225,0.372,0.000,1.000,0.000,0.435,0.594,7.268,6.091,11.723,0.608,low policy quality; public alignment erosion; uncorrected rights backlog; legitimacy erosion,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
high-rights-threat,High Rights-Threat Environment,1,rights-capture-winner,Rights/capture winner,"Highest rights-first profile row, which weights rights while preserving capture resistance.",profile-sensitivity.csv rights-first rank 1,0.718,125,0.640,0.526,0.264,0.882,0.216,0.315,0.526,0.000,0.000,0.000,0.707,0.742,7.758,4.406,0.747,0.635,no dominant failure mode,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
high-rights-threat,High Rights-Threat Environment,2,legitimacy-winner,Legitimacy-first winner,Highest legitimacy-first profile row.,profile-sensitivity.csv legitimacy-first rank 1,0.718,125,0.640,0.526,0.264,0.882,0.216,0.315,0.526,0.000,0.000,0.000,0.707,0.742,7.758,4.406,0.747,0.635,no dominant failure mode,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
high-rights-threat,High Rights-Threat Environment,6,efficiency-caution,Efficiency caution case,"Highest efficiency-first profile row, included as a stress case for weak-floor risks.",profile-sensitivity.csv efficiency-first rank 1,0.480,348,0.631,0.581,0.786,0.273,-0.011,0.195,0.336,0.000,1.000,0.000,0.384,0.587,6.963,7.051,13.707,0.600,low policy quality; public alignment erosion; uncorrected rights backlog; legitimacy erosion,default-pass,Default pass unless 2/3 block,emergency-restraint-court,No emergency relief without merits review,democracy-vouchers,Democracy vouchers
high-rights-threat,High Rights-Threat Environment,7,current-system-baseline,Current-system-ish baseline,Stylized current institutional package for comparison.,fixed baseline keys,0.365,33486,0.500,0.289,0.484,0.530,-0.056,0.000,0.130,0.491,0.573,0.000,0.279,0.582,2.508,4.602,5.453,0.419,weak starting floor; low policy quality; public alignment erosion; uncorrected rights backlog; legitimacy erosion; delivery bottleneck,current-system,Stylized U.S.-like conventional benchmark,current-us-like,Stylized current U.S.-like supreme court,open-access-lobbying,Open access lobbying
court-curbing-noncompliance,Court-Curbing and Institutional Noncompliance Stress,1,balanced-winner,Balanced winner,Highest balanced portfolio score.,cumulative-government-portfolios.csv rank 1,0.699,1,0.656,0.593,0.156,0.985,0.279,0.342,0.515,0.000,0.028,0.000,0.655,0.590,8.670,4.360,0.058,0.554,weak starting floor,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
court-curbing-noncompliance,Court-Curbing and Institutional Noncompliance Stress,6,robustness-winner,Robustness winner,Highest cross-profile robustness score.,portfolio-robustness.csv rank 1,0.684,267,0.635,0.509,0.127,1.000,0.241,0.291,0.506,0.000,0.025,0.000,0.657,0.621,7.420,3.612,0.000,0.635,no dominant failure mode,portfolio-hybrid-legislature,Portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
court-curbing-noncompliance,Court-Curbing and Institutional Noncompliance Stress,3,minimax-regret-winner,Minimax-regret winner,Lowest maximum regret across configured value profiles.,portfolio-minimax-regret.csv rank 1,0.692,323,0.633,0.586,0.184,0.929,0.255,0.329,0.505,0.000,0.027,0.000,0.633,0.587,8.341,4.771,0.314,0.608,no dominant failure mode,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
court-curbing-noncompliance,Court-Curbing and Institutional Noncompliance Stress,4,rights-capture-winner,Rights/capture winner,"Highest rights-first profile row, which weights rights while preserving capture resistance.",profile-sensitivity.csv rights-first rank 1,0.688,125,0.640,0.521,0.129,1.000,0.248,0.298,0.506,0.000,0.025,0.000,0.664,0.622,7.602,3.690,0.000,0.635,no dominant failure mode,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
court-curbing-noncompliance,Court-Curbing and Institutional Noncompliance Stress,5,legitimacy-winner,Legitimacy-first winner,Highest legitimacy-first profile row.,profile-sensitivity.csv legitimacy-first rank 1,0.688,125,0.640,0.521,0.129,1.000,0.248,0.298,0.506,0.000,0.025,0.000,0.664,0.622,7.602,3.690,0.000,0.635,no dominant failure mode,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
court-curbing-noncompliance,Court-Curbing and Institutional Noncompliance Stress,2,efficiency-caution,Efficiency caution case,"Highest efficiency-first profile row, included as a stress case for weak-floor risks.",profile-sensitivity.csv efficiency-first rank 1,0.694,348,0.631,0.617,0.230,0.851,0.239,0.336,0.489,0.000,0.029,0.000,0.618,0.595,8.399,5.468,0.824,0.600,no dominant failure mode,default-pass,Default pass unless 2/3 block,emergency-restraint-court,No emergency relief without merits review,democracy-vouchers,Democracy vouchers
court-curbing-noncompliance,Court-Curbing and Institutional Noncompliance Stress,7,current-system-baseline,Current-system-ish baseline,Stylized current institutional package for comparison.,fixed baseline keys,0.450,33486,0.500,0.292,0.196,1.000,0.038,0.000,0.188,0.499,0.000,0.000,0.350,0.527,2.625,3.814,0.000,0.419,weak starting floor; low policy quality; public alignment erosion; legitimacy erosion; delivery bottleneck,current-system,Stylized U.S.-like conventional benchmark,current-us-like,Stylized current U.S.-like supreme court,open-access-lobbying,Open access lobbying
emergency-abuse-stress,Emergency Abuse Stress,4,balanced-winner,Balanced winner,Highest balanced portfolio score.,cumulative-government-portfolios.csv rank 1,0.492,1,0.656,0.556,0.691,0.301,0.061,0.252,0.389,0.000,1.000,0.000,0.400,0.573,7.356,5.359,11.580,0.554,weak starting floor; public alignment erosion; uncorrected rights backlog; legitimacy erosion,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
emergency-abuse-stress,Emergency Abuse Stress,1,robustness-winner,Robustness winner,Highest cross-profile robustness score.,portfolio-robustness.csv rank 1,0.709,267,0.635,0.506,0.339,0.701,0.195,0.312,0.521,0.000,0.003,0.000,0.680,0.731,7.312,4.219,2.433,0.635,no dominant failure mode,portfolio-hybrid-legislature,Portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
emergency-abuse-stress,Emergency Abuse Stress,5,minimax-regret-winner,Minimax-regret winner,Lowest maximum regret across configured value profiles.,portfolio-minimax-regret.csv rank 1,0.467,323,0.633,0.541,0.749,0.256,0.007,0.208,0.354,0.000,1.000,0.000,0.337,0.550,6.800,5.847,13.369,0.608,low policy quality; public alignment erosion; uncorrected rights backlog; legitimacy erosion,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
emergency-abuse-stress,Emergency Abuse Stress,2,rights-capture-winner,Rights/capture winner,"Highest rights-first profile row, which weights rights while preserving capture resistance.",profile-sensitivity.csv rights-first rank 1,0.705,125,0.640,0.516,0.370,0.653,0.189,0.319,0.516,0.000,0.030,0.000,0.672,0.724,7.410,4.329,3.085,0.635,no dominant failure mode,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
emergency-abuse-stress,Emergency Abuse Stress,3,legitimacy-winner,Legitimacy-first winner,Highest legitimacy-first profile row.,profile-sensitivity.csv legitimacy-first rank 1,0.705,125,0.640,0.516,0.370,0.653,0.189,0.319,0.516,0.000,0.030,0.000,0.672,0.724,7.410,4.329,3.085,0.635,no dominant failure mode,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
emergency-abuse-stress,Emergency Abuse Stress,6,efficiency-caution,Efficiency caution case,"Highest efficiency-first profile row, included as a stress case for weak-floor risks.",profile-sensitivity.csv efficiency-first rank 1,0.443,348,0.631,0.557,0.827,0.233,-0.054,0.162,0.307,0.000,1.000,0.000,0.264,0.532,6.342,6.832,15.239,0.600,low policy quality; public alignment erosion; uncorrected rights backlog; legitimacy erosion,default-pass,Default pass unless 2/3 block,emergency-restraint-court,No emergency relief without merits review,democracy-vouchers,Democracy vouchers
emergency-abuse-stress,Emergency Abuse Stress,7,current-system-baseline,Current-system-ish baseline,Stylized current institutional package for comparison.,fixed baseline keys,0.227,33486,0.500,0.272,0.692,0.330,-0.137,0.000,0.000,0.642,1.000,0.017,0.063,0.486,2.070,4.455,11.140,0.419,weak starting floor; low policy quality; public alignment erosion; capture drift; uncorrected rights backlog; legitimacy erosion; delivery bottleneck,current-system,Stylized U.S.-like conventional benchmark,current-us-like,Stylized current U.S.-like supreme court,open-access-lobbying,Open access lobbying
administrative-complexity-stress,Administrative Overload and Complexity Stress,1,balanced-winner,Balanced winner,Highest balanced portfolio score.,cumulative-government-portfolios.csv rank 1,0.690,1,0.656,0.534,0.162,0.927,0.244,0.310,0.513,0.000,0.020,0.000,0.653,0.612,7.738,4.007,0.284,0.510,weak starting floor,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
administrative-complexity-stress,Administrative Overload and Complexity Stress,5,robustness-winner,Robustness winner,Highest cross-profile robustness score.,portfolio-robustness.csv rank 1,0.677,267,0.635,0.457,0.125,0.993,0.215,0.264,0.505,0.000,0.018,0.000,0.657,0.642,6.645,3.279,0.022,0.584,no dominant failure mode,portfolio-hybrid-legislature,Portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
administrative-complexity-stress,Administrative Overload and Complexity Stress,4,minimax-regret-winner,Minimax-regret winner,Lowest maximum regret across configured value profiles.,portfolio-minimax-regret.csv rank 1,0.680,323,0.633,0.523,0.205,0.803,0.213,0.296,0.501,0.000,0.018,0.000,0.626,0.601,7.332,4.377,0.972,0.559,weak starting floor,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
administrative-complexity-stress,Administrative Overload and Complexity Stress,2,rights-capture-winner,Rights/capture winner,"Highest rights-first profile row, which weights rights while preserving capture resistance.",profile-sensitivity.csv rights-first rank 1,0.681,125,0.640,0.468,0.127,0.992,0.221,0.271,0.505,0.000,0.018,0.000,0.664,0.643,6.808,3.356,0.024,0.584,no dominant failure mode,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
administrative-complexity-stress,Administrative Overload and Complexity Stress,3,legitimacy-winner,Legitimacy-first winner,Highest legitimacy-first profile row.,profile-sensitivity.csv legitimacy-first rank 1,0.681,125,0.640,0.468,0.127,0.992,0.221,0.271,0.505,0.000,0.018,0.000,0.664,0.643,6.808,3.356,0.024,0.584,no dominant failure mode,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
administrative-complexity-stress,Administrative Overload and Complexity Stress,6,efficiency-caution,Efficiency caution case,"Highest efficiency-first profile row, included as a stress case for weak-floor risks.",profile-sensitivity.csv efficiency-first rank 1,0.656,348,0.631,0.541,0.309,0.584,0.163,0.282,0.463,0.000,0.095,0.000,0.568,0.587,6.989,5.148,3.083,0.552,weak starting floor,default-pass,Default pass unless 2/3 block,emergency-restraint-court,No emergency relief without merits review,democracy-vouchers,Democracy vouchers
administrative-complexity-stress,Administrative Overload and Complexity Stress,7,current-system-baseline,Current-system-ish baseline,Stylized current institutional package for comparison.,fixed baseline keys,0.410,33486,0.500,0.253,0.216,0.960,0.021,0.000,0.127,0.666,0.001,0.000,0.310,0.519,2.123,3.499,0.208,0.385,weak starting floor; low policy quality; public alignment erosion; capture drift; legitimacy erosion; delivery bottleneck,current-system,Stylized U.S.-like conventional benchmark,current-us-like,Stylized current U.S.-like supreme court,open-access-lobbying,Open access lobbying
federalism-agency-capacity-stress,Federalism and Agency-Capacity Stress,1,balanced-winner,Balanced winner,Highest balanced portfolio score.,cumulative-government-portfolios.csv rank 1,0.670,1,0.656,0.504,0.161,0.927,0.228,0.292,0.512,0.000,0.017,0.000,0.624,0.544,7.250,3.813,0.282,0.499,weak starting floor,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
federalism-agency-capacity-stress,Federalism and Agency-Capacity Stress,5,robustness-winner,Robustness winner,Highest cross-profile robustness score.,portfolio-robustness.csv rank 1,0.657,267,0.635,0.431,0.123,0.992,0.201,0.249,0.504,0.000,0.015,0.000,0.629,0.571,6.235,3.108,0.023,0.572,low policy quality,portfolio-hybrid-legislature,Portfolio hybrid legislature,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
federalism-agency-capacity-stress,Federalism and Agency-Capacity Stress,4,minimax-regret-winner,Minimax-regret winner,Lowest maximum regret across configured value profiles.,portfolio-minimax-regret.csv rank 1,0.660,323,0.633,0.493,0.205,0.794,0.196,0.278,0.499,0.000,0.015,0.000,0.597,0.533,6.838,4.163,1.014,0.547,weak starting floor,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
federalism-agency-capacity-stress,Federalism and Agency-Capacity Stress,2,rights-capture-winner,Rights/capture winner,"Highest rights-first profile row, which weights rights while preserving capture resistance.",profile-sensitivity.csv rights-first rank 1,0.661,125,0.640,0.442,0.126,0.992,0.206,0.255,0.504,0.000,0.015,0.000,0.636,0.572,6.387,3.182,0.024,0.572,no dominant failure mode,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
federalism-agency-capacity-stress,Federalism and Agency-Capacity Stress,3,legitimacy-winner,Legitimacy-first winner,Highest legitimacy-first profile row.,profile-sensitivity.csv legitimacy-first rank 1,0.661,125,0.640,0.442,0.126,0.992,0.206,0.255,0.504,0.000,0.015,0.000,0.636,0.572,6.387,3.182,0.024,0.572,no dominant failure mode,simple-majority-alternatives-pairwise,Unicameral majority + pairwise alternatives,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle
federalism-agency-capacity-stress,Federalism and Agency-Capacity Stress,6,efficiency-caution,Efficiency caution case,"Highest efficiency-first profile row, included as a stress case for weak-floor risks.",profile-sensitivity.csv efficiency-first rank 1,0.617,348,0.631,0.505,0.328,0.546,0.133,0.248,0.441,0.000,0.153,0.000,0.511,0.508,6.323,4.975,3.579,0.540,weak starting floor; low policy quality,default-pass,Default pass unless 2/3 block,emergency-restraint-court,No emergency relief without merits review,democracy-vouchers,Democracy vouchers
federalism-agency-capacity-stress,Federalism and Agency-Capacity Stress,7,current-system-baseline,Current-system-ish baseline,Stylized current institutional package for comparison.,fixed baseline keys,0.377,33486,0.500,0.235,0.223,0.932,0.013,0.000,0.098,0.738,0.022,0.000,0.267,0.453,1.904,3.314,0.363,0.377,weak starting floor; low policy quality; public alignment erosion; capture drift; legitimacy erosion; delivery bottleneck,current-system,Stylized U.S.-like conventional benchmark,current-us-like,Stylized current U.S.-like supreme court,open-access-lobbying,Open access lobbying
