construct,importedColumn,companionColumn,importedPresent,companionPresent,importedRows,companionRows,direction,weight,comparisonStatus,staticScoreEligibility,adaptiveInputEligibility,denominatorRisk,recommendation
agencyNonacquiescenceRate,,agencyNonacquiescenceRate,False,True,520,231,negative,,companion adaptive candidate,do not add to static score yet,Agency noncompliance and implementation-friction input candidate.,requires calibration,Map as Adaptive Bridge or stress input before using it as a ranking metric.
localGovernmentComplianceRate,,localGovernmentComplianceRate,False,True,520,231,positive,,companion adaptive candidate,do not add to static score yet,Federalism/local compliance input candidate.,requires calibration,Map as Adaptive Bridge or stress input before using it as a ranking metric.
publicTrust,,publicTrust,False,True,520,231,positive,,companion adaptive candidate,do not add to static score yet,Public trust and legitimacy feedback input candidate.,requires calibration,Map as Adaptive Bridge or stress input before using it as a ranking metric.
legislativeConflict,,legislativeConflict,False,True,520,231,negative,,companion adaptive candidate,do not add to static score yet,Interbranch conflict and court-curbing pressure input candidate.,requires calibration,Map as Adaptive Bridge or stress input before using it as a ranking metric.
courtCurbingPressure,,courtCurbingPressure,False,True,520,231,negative,,companion adaptive candidate,do not add to static score yet,Court retaliation/adaptation input candidate.,requires calibration,Map as Adaptive Bridge or stress input before using it as a ranking metric.
amendmentPressure,,amendmentPressure,False,True,520,231,negative,,companion adaptive candidate,do not add to static score yet,Constitutional transition-pressure input candidate.,requires calibration,Map as Adaptive Bridge or stress input before using it as a ranking metric.
implementationCapacity,,implementationCapacity,False,True,520,231,positive,,companion adaptive candidate,do not add to static score yet,Administrative capacity input candidate.,requires calibration,Map as Adaptive Bridge or stress input before using it as a ranking metric.
legislativeResponseCredibility,,legislativeResponseCredibility,False,True,520,231,positive,,companion adaptive candidate,do not add to static score yet,Weak-form response and correction-cycle input candidate.,requires calibration,Map as Adaptive Bridge or stress input before using it as a ranking metric.
democraticConstitutionalism,,democraticConstitutionalism,False,True,520,231,positive,,companion adaptive candidate,do not add to static score yet,Composite democratic constitutionalism cross-check.,requires calibration,Map as Adaptive Bridge or stress input before using it as a ranking metric.
vetoRelocationRisk,,vetoRelocationRisk,False,True,520,231,negative,,companion adaptive candidate,do not add to static score yet,Institutional veto relocation risk input candidate.,requires calibration,Map as Adaptive Bridge or stress input before using it as a ranking metric.
legalTransplantFeasibility,,legalTransplantFeasibility,False,True,520,231,positive,,companion adaptive candidate,do not add to static score yet,Transition feasibility and comparative-transfer input candidate.,requires calibration,Map as Adaptive Bridge or stress input before using it as a ranking metric.
politicalCultureSensitivity,,politicalCultureSensitivity,False,True,520,231,negative,,companion adaptive candidate,do not add to static score yet,Political-culture fragility input candidate.,requires calibration,Map as Adaptive Bridge or stress input before using it as a ranking metric.
