stressProfile,stressLabel,caseKey,period,delivery,usefulPolicy,badPolicyInflow,reviewDocketPressure,correctedPressure,uncorrectedPressure,policyQuality,publicAlignmentState,capturePressure,correctionBacklog,courtCurbingPressure,legitimacyState,compliance,netPolicyBenefit
baseline,Baseline,robustness-winner,20,0.523,0.328,0.145,0.110,0.110,0.000,0.299,0.505,0.000,0.025,0.000,0.699,0.741,0.263
baseline,Baseline,robustness-winner,21,0.523,0.328,0.145,0.110,0.110,0.000,0.298,0.506,0.000,0.025,0.000,0.699,0.741,0.263
baseline,Baseline,robustness-winner,22,0.523,0.328,0.145,0.110,0.110,0.000,0.298,0.506,0.000,0.025,0.000,0.700,0.741,0.263
baseline,Baseline,robustness-winner,23,0.523,0.329,0.145,0.110,0.110,0.000,0.298,0.506,0.000,0.025,0.000,0.700,0.741,0.263
baseline,Baseline,robustness-winner,24,0.523,0.329,0.145,0.110,0.110,0.000,0.298,0.507,0.000,0.025,0.000,0.700,0.742,0.264
baseline,Baseline,minimax-regret-winner,1,0.568,0.309,0.236,0.301,0.219,0.082,0.525,0.486,0.304,0.196,0.000,0.590,0.661,0.182
baseline,Baseline,minimax-regret-winner,2,0.571,0.310,0.235,0.290,0.219,0.071,0.470,0.470,0.257,0.183,0.000,0.592,0.663,0.187
baseline,Baseline,minimax-regret-winner,3,0.574,0.313,0.232,0.276,0.220,0.057,0.428,0.460,0.212,0.166,0.000,0.595,0.664,0.195
baseline,Baseline,minimax-regret-winner,4,0.577,0.318,0.228,0.260,0.220,0.041,0.396,0.456,0.166,0.143,0.000,0.599,0.665,0.205
baseline,Baseline,minimax-regret-winner,5,0.580,0.324,0.222,0.241,0.220,0.021,0.374,0.456,0.121,0.115,0.000,0.605,0.667,0.219
baseline,Baseline,minimax-regret-winner,6,0.584,0.332,0.216,0.220,0.220,0.000,0.359,0.460,0.076,0.082,0.000,0.612,0.669,0.235
baseline,Baseline,minimax-regret-winner,7,0.588,0.341,0.208,0.196,0.196,0.000,0.350,0.466,0.031,0.062,0.000,0.620,0.673,0.247
baseline,Baseline,minimax-regret-winner,8,0.592,0.351,0.200,0.176,0.176,0.000,0.344,0.472,0.000,0.049,0.000,0.627,0.676,0.261
baseline,Baseline,minimax-regret-winner,9,0.595,0.358,0.194,0.163,0.163,0.000,0.340,0.478,0.000,0.042,0.000,0.634,0.680,0.271
baseline,Baseline,minimax-regret-winner,10,0.597,0.361,0.193,0.159,0.159,0.000,0.337,0.482,0.000,0.037,0.000,0.640,0.683,0.274
baseline,Baseline,minimax-regret-winner,11,0.598,0.364,0.193,0.157,0.157,0.000,0.335,0.486,0.000,0.034,0.000,0.645,0.685,0.277
baseline,Baseline,minimax-regret-winner,12,0.599,0.366,0.192,0.156,0.156,0.000,0.334,0.489,0.000,0.031,0.000,0.649,0.688,0.279
baseline,Baseline,minimax-regret-winner,13,0.600,0.367,0.191,0.154,0.154,0.000,0.333,0.492,0.000,0.030,0.000,0.653,0.690,0.281
baseline,Baseline,minimax-regret-winner,14,0.601,0.369,0.191,0.154,0.154,0.000,0.333,0.494,0.000,0.029,0.000,0.657,0.691,0.283
baseline,Baseline,minimax-regret-winner,15,0.602,0.370,0.191,0.153,0.153,0.000,0.333,0.496,0.000,0.028,0.000,0.660,0.693,0.285
baseline,Baseline,minimax-regret-winner,16,0.603,0.372,0.190,0.153,0.153,0.000,0.333,0.498,0.000,0.028,0.000,0.662,0.694,0.286
baseline,Baseline,minimax-regret-winner,17,0.603,0.373,0.190,0.152,0.152,0.000,0.333,0.499,0.000,0.028,0.000,0.665,0.695,0.287
baseline,Baseline,minimax-regret-winner,18,0.604,0.373,0.190,0.152,0.152,0.000,0.334,0.501,0.000,0.028,0.000,0.667,0.696,0.288
baseline,Baseline,minimax-regret-winner,19,0.605,0.374,0.190,0.152,0.152,0.000,0.334,0.502,0.000,0.027,0.000,0.669,0.697,0.289
baseline,Baseline,minimax-regret-winner,20,0.605,0.375,0.190,0.152,0.152,0.000,0.335,0.503,0.000,0.027,0.000,0.670,0.698,0.289
baseline,Baseline,minimax-regret-winner,21,0.605,0.375,0.190,0.152,0.152,0.000,0.335,0.503,0.000,0.027,0.000,0.672,0.699,0.290
baseline,Baseline,minimax-regret-winner,22,0.606,0.376,0.190,0.152,0.152,0.000,0.336,0.504,0.000,0.027,0.000,0.673,0.700,0.291
baseline,Baseline,minimax-regret-winner,23,0.606,0.376,0.190,0.152,0.152,0.000,0.336,0.505,0.000,0.027,0.000,0.674,0.700,0.291
baseline,Baseline,minimax-regret-winner,24,0.606,0.377,0.189,0.151,0.151,0.000,0.337,0.505,0.000,0.027,0.000,0.675,0.701,0.292
baseline,Baseline,rights-capture-winner,1,0.502,0.280,0.187,0.237,0.237,0.000,0.567,0.504,0.295,0.102,0.000,0.635,0.706,0.196
baseline,Baseline,rights-capture-winner,2,0.506,0.284,0.184,0.208,0.208,0.000,0.505,0.491,0.242,0.069,0.000,0.642,0.710,0.202
baseline,Baseline,rights-capture-winner,3,0.510,0.290,0.181,0.186,0.186,0.000,0.455,0.482,0.191,0.048,0.000,0.648,0.713,0.208
baseline,Baseline,rights-capture-winner,4,0.514,0.295,0.176,0.168,0.168,0.000,0.417,0.478,0.140,0.036,0.000,0.654,0.716,0.216
baseline,Baseline,rights-capture-winner,5,0.518,0.302,0.170,0.152,0.152,0.000,0.388,0.477,0.090,0.030,0.000,0.661,0.719,0.226
baseline,Baseline,rights-capture-winner,6,0.522,0.310,0.164,0.138,0.138,0.000,0.367,0.479,0.040,0.027,0.000,0.668,0.722,0.236
baseline,Baseline,rights-capture-winner,7,0.526,0.318,0.157,0.124,0.124,0.000,0.352,0.484,0.000,0.026,0.000,0.674,0.725,0.248
baseline,Baseline,rights-capture-winner,8,0.529,0.326,0.150,0.114,0.114,0.000,0.342,0.487,0.000,0.026,0.000,0.680,0.728,0.258
baseline,Baseline,rights-capture-winner,9,0.531,0.328,0.150,0.113,0.113,0.000,0.333,0.490,0.000,0.026,0.000,0.685,0.730,0.260
baseline,Baseline,rights-capture-winner,10,0.532,0.329,0.149,0.113,0.113,0.000,0.327,0.493,0.000,0.026,0.000,0.689,0.732,0.262
baseline,Baseline,rights-capture-winner,11,0.532,0.331,0.149,0.113,0.113,0.000,0.322,0.495,0.000,0.026,0.000,0.692,0.734,0.264
baseline,Baseline,rights-capture-winner,12,0.533,0.332,0.149,0.113,0.113,0.000,0.318,0.497,0.000,0.026,0.000,0.695,0.736,0.265
baseline,Baseline,rights-capture-winner,13,0.534,0.333,0.149,0.112,0.112,0.000,0.314,0.499,0.000,0.026,0.000,0.697,0.737,0.266
baseline,Baseline,rights-capture-winner,14,0.534,0.334,0.148,0.112,0.112,0.000,0.312,0.500,0.000,0.026,0.000,0.699,0.738,0.267
baseline,Baseline,rights-capture-winner,15,0.534,0.334,0.148,0.112,0.112,0.000,0.310,0.501,0.000,0.026,0.000,0.700,0.739,0.268
baseline,Baseline,rights-capture-winner,16,0.535,0.335,0.148,0.112,0.112,0.000,0.309,0.502,0.000,0.026,0.000,0.702,0.739,0.268
baseline,Baseline,rights-capture-winner,17,0.535,0.335,0.148,0.112,0.112,0.000,0.308,0.503,0.000,0.026,0.000,0.703,0.740,0.269
baseline,Baseline,rights-capture-winner,18,0.535,0.336,0.148,0.112,0.112,0.000,0.307,0.504,0.000,0.026,0.000,0.704,0.740,0.269
baseline,Baseline,rights-capture-winner,19,0.535,0.336,0.148,0.112,0.112,0.000,0.306,0.505,0.000,0.026,0.000,0.705,0.741,0.270
baseline,Baseline,rights-capture-winner,20,0.536,0.337,0.147,0.112,0.112,0.000,0.306,0.505,0.000,0.026,0.000,0.705,0.741,0.270
baseline,Baseline,rights-capture-winner,21,0.536,0.337,0.147,0.112,0.112,0.000,0.306,0.506,0.000,0.026,0.000,0.706,0.742,0.270
baseline,Baseline,rights-capture-winner,22,0.536,0.337,0.147,0.111,0.111,0.000,0.306,0.506,0.000,0.026,0.000,0.707,0.742,0.271
baseline,Baseline,rights-capture-winner,23,0.536,0.337,0.147,0.111,0.111,0.000,0.305,0.506,0.000,0.026,0.000,0.707,0.742,0.271
baseline,Baseline,rights-capture-winner,24,0.536,0.337,0.147,0.111,0.111,0.000,0.305,0.507,0.000,0.026,0.000,0.708,0.742,0.271
baseline,Baseline,legitimacy-winner,1,0.502,0.280,0.187,0.237,0.237,0.000,0.567,0.504,0.295,0.102,0.000,0.635,0.706,0.196
baseline,Baseline,legitimacy-winner,2,0.506,0.284,0.184,0.208,0.208,0.000,0.505,0.491,0.242,0.069,0.000,0.642,0.710,0.202
baseline,Baseline,legitimacy-winner,3,0.510,0.290,0.181,0.186,0.186,0.000,0.455,0.482,0.191,0.048,0.000,0.648,0.713,0.208
baseline,Baseline,legitimacy-winner,4,0.514,0.295,0.176,0.168,0.168,0.000,0.417,0.478,0.140,0.036,0.000,0.654,0.716,0.216
baseline,Baseline,legitimacy-winner,5,0.518,0.302,0.170,0.152,0.152,0.000,0.388,0.477,0.090,0.030,0.000,0.661,0.719,0.226
baseline,Baseline,legitimacy-winner,6,0.522,0.310,0.164,0.138,0.138,0.000,0.367,0.479,0.040,0.027,0.000,0.668,0.722,0.236
baseline,Baseline,legitimacy-winner,7,0.526,0.318,0.157,0.124,0.124,0.000,0.352,0.484,0.000,0.026,0.000,0.674,0.725,0.248
baseline,Baseline,legitimacy-winner,8,0.529,0.326,0.150,0.114,0.114,0.000,0.342,0.487,0.000,0.026,0.000,0.680,0.728,0.258
baseline,Baseline,legitimacy-winner,9,0.531,0.328,0.150,0.113,0.113,0.000,0.333,0.490,0.000,0.026,0.000,0.685,0.730,0.260
baseline,Baseline,legitimacy-winner,10,0.532,0.329,0.149,0.113,0.113,0.000,0.327,0.493,0.000,0.026,0.000,0.689,0.732,0.262
baseline,Baseline,legitimacy-winner,11,0.532,0.331,0.149,0.113,0.113,0.000,0.322,0.495,0.000,0.026,0.000,0.692,0.734,0.264
baseline,Baseline,legitimacy-winner,12,0.533,0.332,0.149,0.113,0.113,0.000,0.318,0.497,0.000,0.026,0.000,0.695,0.736,0.265
baseline,Baseline,legitimacy-winner,13,0.534,0.333,0.149,0.112,0.112,0.000,0.314,0.499,0.000,0.026,0.000,0.697,0.737,0.266
baseline,Baseline,legitimacy-winner,14,0.534,0.334,0.148,0.112,0.112,0.000,0.312,0.500,0.000,0.026,0.000,0.699,0.738,0.267
baseline,Baseline,legitimacy-winner,15,0.534,0.334,0.148,0.112,0.112,0.000,0.310,0.501,0.000,0.026,0.000,0.700,0.739,0.268
baseline,Baseline,legitimacy-winner,16,0.535,0.335,0.148,0.112,0.112,0.000,0.309,0.502,0.000,0.026,0.000,0.702,0.739,0.268
baseline,Baseline,legitimacy-winner,17,0.535,0.335,0.148,0.112,0.112,0.000,0.308,0.503,0.000,0.026,0.000,0.703,0.740,0.269
baseline,Baseline,legitimacy-winner,18,0.535,0.336,0.148,0.112,0.112,0.000,0.307,0.504,0.000,0.026,0.000,0.704,0.740,0.269
baseline,Baseline,legitimacy-winner,19,0.535,0.336,0.148,0.112,0.112,0.000,0.306,0.505,0.000,0.026,0.000,0.705,0.741,0.270
baseline,Baseline,legitimacy-winner,20,0.536,0.337,0.147,0.112,0.112,0.000,0.306,0.505,0.000,0.026,0.000,0.705,0.741,0.270
baseline,Baseline,legitimacy-winner,21,0.536,0.337,0.147,0.112,0.112,0.000,0.306,0.506,0.000,0.026,0.000,0.706,0.742,0.270
baseline,Baseline,legitimacy-winner,22,0.536,0.337,0.147,0.111,0.111,0.000,0.306,0.506,0.000,0.026,0.000,0.707,0.742,0.271
baseline,Baseline,legitimacy-winner,23,0.536,0.337,0.147,0.111,0.111,0.000,0.305,0.506,0.000,0.026,0.000,0.707,0.742,0.271
baseline,Baseline,legitimacy-winner,24,0.536,0.337,0.147,0.111,0.111,0.000,0.305,0.507,0.000,0.026,0.000,0.708,0.742,0.271
baseline,Baseline,efficiency-caution,1,0.603,0.320,0.263,0.332,0.223,0.108,0.505,0.474,0.352,0.220,0.000,0.567,0.670,0.174
baseline,Baseline,efficiency-caution,2,0.605,0.318,0.264,0.330,0.223,0.107,0.450,0.453,0.316,0.226,0.000,0.567,0.670,0.172
baseline,Baseline,efficiency-caution,3,0.607,0.317,0.264,0.326,0.223,0.103,0.406,0.437,0.282,0.227,0.000,0.566,0.670,0.173
baseline,Baseline,efficiency-caution,4,0.608,0.318,0.262,0.320,0.223,0.097,0.372,0.426,0.248,0.225,0.000,0.566,0.669,0.175
baseline,Baseline,efficiency-caution,5,0.610,0.320,0.259,0.312,0.223,0.089,0.346,0.419,0.214,0.218,0.000,0.566,0.669,0.180
baseline,Baseline,efficiency-caution,6,0.611,0.323,0.256,0.302,0.223,0.079,0.327,0.416,0.181,0.207,0.000,0.568,0.669,0.188
baseline,Baseline,efficiency-caution,7,0.613,0.327,0.251,0.290,0.223,0.067,0.314,0.416,0.149,0.192,0.000,0.570,0.670,0.197
baseline,Baseline,efficiency-caution,8,0.616,0.332,0.246,0.276,0.223,0.053,0.306,0.418,0.116,0.171,0.000,0.574,0.671,0.208
baseline,Baseline,efficiency-caution,9,0.618,0.339,0.241,0.260,0.224,0.036,0.302,0.424,0.083,0.147,0.000,0.580,0.673,0.222
baseline,Baseline,efficiency-caution,10,0.622,0.347,0.234,0.241,0.224,0.017,0.303,0.432,0.049,0.117,0.000,0.587,0.675,0.237
baseline,Baseline,efficiency-caution,11,0.625,0.355,0.227,0.220,0.220,0.000,0.306,0.441,0.016,0.086,0.000,0.596,0.679,0.253
baseline,Baseline,efficiency-caution,12,0.629,0.365,0.220,0.199,0.199,0.000,0.311,0.450,0.000,0.066,0.000,0.604,0.683,0.266
baseline,Baseline,efficiency-caution,13,0.632,0.372,0.215,0.186,0.186,0.000,0.315,0.457,0.000,0.053,0.000,0.612,0.686,0.275
baseline,Baseline,efficiency-caution,14,0.634,0.376,0.214,0.181,0.181,0.000,0.319,0.463,0.000,0.045,0.000,0.619,0.690,0.279
baseline,Baseline,efficiency-caution,15,0.636,0.379,0.213,0.177,0.177,0.000,0.323,0.468,0.000,0.040,0.000,0.625,0.693,0.283
baseline,Baseline,efficiency-caution,16,0.637,0.382,0.212,0.175,0.175,0.000,0.326,0.473,0.000,0.036,0.000,0.631,0.696,0.286
baseline,Baseline,efficiency-caution,17,0.639,0.384,0.212,0.173,0.173,0.000,0.329,0.476,0.000,0.034,0.000,0.636,0.698,0.289
baseline,Baseline,efficiency-caution,18,0.640,0.386,0.211,0.172,0.172,0.000,0.332,0.479,0.000,0.032,0.000,0.641,0.701,0.291
baseline,Baseline,efficiency-caution,19,0.641,0.388,0.211,0.171,0.171,0.000,0.335,0.482,0.000,0.031,0.000,0.645,0.703,0.293
baseline,Baseline,efficiency-caution,20,0.642,0.390,0.210,0.170,0.170,0.000,0.337,0.484,0.000,0.030,0.000,0.649,0.705,0.295
baseline,Baseline,efficiency-caution,21,0.643,0.391,0.210,0.170,0.170,0.000,0.340,0.486,0.000,0.030,0.000,0.652,0.706,0.297
baseline,Baseline,efficiency-caution,22,0.644,0.393,0.210,0.169,0.169,0.000,0.342,0.488,0.000,0.030,0.000,0.655,0.708,0.298
baseline,Baseline,efficiency-caution,23,0.645,0.394,0.210,0.169,0.169,0.000,0.344,0.489,0.000,0.029,0.000,0.658,0.709,0.299
baseline,Baseline,efficiency-caution,24,0.646,0.395,0.210,0.169,0.169,0.000,0.345,0.490,0.000,0.029,0.000,0.661,0.711,0.301
baseline,Baseline,current-system-baseline,1,0.302,0.140,0.145,0.254,0.254,0.000,0.446,0.426,0.564,0.108,0.000,0.506,0.682,0.075
baseline,Baseline,current-system-baseline,2,0.303,0.135,0.149,0.229,0.229,0.000,0.371,0.389,0.550,0.062,0.000,0.503,0.682,0.068
baseline,Baseline,current-system-baseline,3,0.303,0.131,0.152,0.213,0.213,0.000,0.308,0.357,0.538,0.032,0.000,0.498,0.680,0.063
baseline,Baseline,current-system-baseline,4,0.303,0.127,0.155,0.203,0.203,0.000,0.255,0.331,0.528,0.014,0.000,0.492,0.678,0.057
baseline,Baseline,current-system-baseline,5,0.303,0.124,0.158,0.197,0.197,0.000,0.211,0.308,0.520,0.002,0.000,0.485,0.675,0.053
baseline,Baseline,current-system-baseline,6,0.302,0.121,0.159,0.193,0.193,0.000,0.174,0.289,0.513,0.000,0.000,0.477,0.672,0.049
baseline,Baseline,current-system-baseline,7,0.301,0.118,0.161,0.192,0.192,0.000,0.143,0.273,0.507,0.000,0.000,0.470,0.669,0.046
baseline,Baseline,current-system-baseline,8,0.301,0.116,0.162,0.192,0.192,0.000,0.117,0.260,0.501,0.000,0.000,0.463,0.666,0.043
baseline,Baseline,current-system-baseline,9,0.300,0.114,0.163,0.192,0.192,0.000,0.096,0.249,0.497,0.000,0.000,0.456,0.662,0.041
baseline,Baseline,current-system-baseline,10,0.299,0.112,0.163,0.191,0.191,0.000,0.078,0.239,0.493,0.000,0.000,0.449,0.659,0.039
baseline,Baseline,current-system-baseline,11,0.298,0.111,0.164,0.191,0.191,0.000,0.063,0.232,0.490,0.000,0.000,0.442,0.656,0.037
baseline,Baseline,current-system-baseline,12,0.298,0.109,0.164,0.191,0.191,0.000,0.051,0.225,0.487,0.000,0.000,0.436,0.653,0.036
baseline,Baseline,current-system-baseline,13,0.297,0.108,0.164,0.191,0.191,0.000,0.041,0.220,0.485,0.000,0.000,0.430,0.650,0.034
baseline,Baseline,current-system-baseline,14,0.296,0.107,0.164,0.190,0.190,0.000,0.032,0.215,0.483,0.000,0.000,0.425,0.648,0.033
baseline,Baseline,current-system-baseline,15,0.296,0.106,0.164,0.190,0.190,0.000,0.025,0.211,0.482,0.000,0.000,0.420,0.645,0.032
baseline,Baseline,current-system-baseline,16,0.295,0.106,0.164,0.190,0.190,0.000,0.019,0.208,0.481,0.000,0.000,0.415,0.643,0.032
baseline,Baseline,current-system-baseline,17,0.294,0.105,0.164,0.190,0.190,0.000,0.014,0.205,0.480,0.000,0.000,0.411,0.641,0.031
baseline,Baseline,current-system-baseline,18,0.294,0.104,0.164,0.189,0.189,0.000,0.010,0.203,0.479,0.000,0.000,0.407,0.639,0.030
baseline,Baseline,current-system-baseline,19,0.293,0.104,0.164,0.189,0.189,0.000,0.006,0.201,0.479,0.000,0.000,0.404,0.637,0.030
baseline,Baseline,current-system-baseline,20,0.293,0.103,0.164,0.189,0.189,0.000,0.003,0.199,0.479,0.000,0.000,0.401,0.636,0.029
baseline,Baseline,current-system-baseline,21,0.292,0.103,0.164,0.189,0.189,0.000,0.001,0.198,0.478,0.000,0.000,0.398,0.634,0.029
baseline,Baseline,current-system-baseline,22,0.292,0.102,0.164,0.189,0.189,0.000,0.000,0.197,0.479,0.000,0.000,0.395,0.633,0.029
baseline,Baseline,current-system-baseline,23,0.292,0.102,0.164,0.189,0.189,0.000,0.000,0.195,0.479,0.000,0.000,0.393,0.632,0.028
baseline,Baseline,current-system-baseline,24,0.291,0.102,0.164,0.189,0.189,0.000,0.000,0.195,0.479,0.000,0.000,0.391,0.631,0.028
