metricName,sourceProject,sourceColumn,denominator,direction,weight,staticScoreEligibility,adaptiveInputEligibility,relationshipToExistingMetric,harmonizedColumn,harmonizedAction,rationale
shadowDocketAbuse,Constitutional Review Simulator,shadowDocketAbuse,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,negative,1.400,included in harmonized static source,not primary adaptive input; available as static review construct,supplements existing metric with same name and direction in both review sources,shadowDocketAbuse,included,Same column exists in both review sources with compatible 0-1 interpretation and direction.
emergencyLegitimacyRisk,Constitutional Review Simulator,,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,negative,1.200,not present in this source,not available from this source,missing relative to configured review metric,,not present,Configured metric is absent from this source.
constitutionalConflict,Constitutional Review Simulator,constitutionalConflict,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,negative,1.200,included in harmonized static source,not primary adaptive input; available as static review construct,supplements existing metric with same name and direction in both review sources,constitutionalConflict,included,Same column exists in both review sources with compatible 0-1 interpretation and direction.
reversalRate,Constitutional Review Simulator,reversalRate,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,negative,0.700,included in harmonized static source,not primary adaptive input; available as static review construct,supplements existing metric with same name and direction in both review sources,reversalRate,included,Same column exists in both review sources with compatible 0-1 interpretation and direction.
administrativeCost,Constitutional Review Simulator,,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,negative,0.800,not present in this source,not available from this source,missing relative to configured review metric,,not present,Configured metric is absent from this source.
totalInstitutionalCost,Constitutional Review Simulator,totalInstitutionalCost,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,negative,0.800,source-specific only; excluded from harmonized static source,possible source-specific sensitivity input,conflicts with harmonized static scope until source ownership is assigned,,excluded,"Column is present in this source only, so using it would give that source an unmatched static-score advantage."
implementationComplexity,Constitutional Review Simulator,implementationComplexity,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,negative,0.500,source-specific only; excluded from harmonized static source,possible source-specific sensitivity input,conflicts with harmonized static scope until source ownership is assigned,,excluded,"Column is present in this source only, so using it would give that source an unmatched static-score advantage."
complianceRate,Constitutional Review Simulator,complianceRate,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,positive,,not eligible for static harmonized source,eligible adaptive-input candidate after coefficient validation,supplements adaptive bridge rather than replacing static review score,,adaptive candidate,Adaptive bridge compliance/recovery input candidate.
defianceRate,Constitutional Review Simulator,defianceRate,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,negative,,not eligible for static harmonized source,eligible adaptive-input candidate after coefficient validation,supplements adaptive bridge rather than replacing static review score,,adaptive candidate,Adaptive bridge institutional noncompliance input candidate.
workaroundRate,Constitutional Review Simulator,workaroundRate,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,negative,,not eligible for static harmonized source,eligible adaptive-input candidate after coefficient validation,supplements adaptive bridge rather than replacing static review score,,adaptive candidate,Adaptive bridge evasion/noncompliance input candidate.
executiveImplementationRate,Constitutional Review Simulator,executiveImplementationRate,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,positive,,not eligible for static harmonized source,eligible adaptive-input candidate after coefficient validation,supplements adaptive bridge rather than replacing static review score,,adaptive candidate,Agency/executive implementation capacity input candidate.
agencyNonacquiescenceRate,Constitutional Review Simulator,agencyNonacquiescenceRate,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,negative,,not eligible for static harmonized source,eligible adaptive-input candidate after coefficient validation,supplements adaptive bridge rather than replacing static review score,,adaptive candidate,Agency noncompliance and implementation-friction input candidate.
localGovernmentComplianceRate,Constitutional Review Simulator,localGovernmentComplianceRate,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,positive,,not eligible for static harmonized source,eligible adaptive-input candidate after coefficient validation,supplements adaptive bridge rather than replacing static review score,,adaptive candidate,Federalism/local compliance input candidate.
publicTrust,Constitutional Review Simulator,publicTrust,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,positive,,not eligible for static harmonized source,eligible adaptive-input candidate after coefficient validation,supplements adaptive bridge rather than replacing static review score,,adaptive candidate,Public trust and legitimacy feedback input candidate.
legislativeConflict,Constitutional Review Simulator,legislativeConflict,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,negative,,not eligible for static harmonized source,eligible adaptive-input candidate after coefficient validation,supplements adaptive bridge rather than replacing static review score,,adaptive candidate,Interbranch conflict and court-curbing pressure input candidate.
courtCurbingPressure,Constitutional Review Simulator,courtCurbingPressure,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,negative,,not eligible for static harmonized source,eligible adaptive-input candidate after coefficient validation,supplements adaptive bridge rather than replacing static review score,,adaptive candidate,Court retaliation/adaptation input candidate.
amendmentPressure,Constitutional Review Simulator,amendmentPressure,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,negative,,not eligible for static harmonized source,eligible adaptive-input candidate after coefficient validation,supplements adaptive bridge rather than replacing static review score,,adaptive candidate,Constitutional transition-pressure input candidate.
implementationCapacity,Constitutional Review Simulator,implementationCapacity,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,positive,,not eligible for static harmonized source,eligible adaptive-input candidate after coefficient validation,supplements adaptive bridge rather than replacing static review score,,adaptive candidate,Administrative capacity input candidate.
legislativeResponseCredibility,Constitutional Review Simulator,legislativeResponseCredibility,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,positive,,not eligible for static harmonized source,eligible adaptive-input candidate after coefficient validation,supplements adaptive bridge rather than replacing static review score,,adaptive candidate,Weak-form response and correction-cycle input candidate.
democraticConstitutionalism,Constitutional Review Simulator,democraticConstitutionalism,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,positive,,not eligible for static harmonized source,eligible adaptive-input candidate after coefficient validation,supplements adaptive bridge rather than replacing static review score,,adaptive candidate,Composite democratic constitutionalism cross-check.
vetoRelocationRisk,Constitutional Review Simulator,vetoRelocationRisk,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,negative,,not eligible for static harmonized source,eligible adaptive-input candidate after coefficient validation,supplements adaptive bridge rather than replacing static review score,,adaptive candidate,Institutional veto relocation risk input candidate.
legalTransplantFeasibility,Constitutional Review Simulator,legalTransplantFeasibility,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,positive,,not eligible for static harmonized source,eligible adaptive-input candidate after coefficient validation,supplements adaptive bridge rather than replacing static review score,,adaptive candidate,Transition feasibility and comparative-transfer input candidate.
politicalCultureSensitivity,Constitutional Review Simulator,politicalCultureSensitivity,unweighted sensitivity-case scenario mean; caseWeight is absent and treated as 1.0,negative,,not eligible for static harmonized source,eligible adaptive-input candidate after coefficient validation,supplements adaptive bridge rather than replacing static review score,,adaptive candidate,Political-culture fragility input candidate.
