balancedRank,balancedScore,minimaxRegretRank,maxProfileRegret,uncertaintyLow,uncertaintyHigh,modelUncertaintyBand,resilienceFloor,publicAlignment,captureResistance,complexityScore,legislature,review,antiCapture,doNotRecommendYetReason
12,0.656,7559,0.111,0.563,0.749,0.093,0.545,0.533,0.657,0.545,Expanded portfolio hybrid legislature,Comparative 16-seat constitutional senates,Full anti-capture bundle,weak subsystem floor; weak public alignment; falls far under at least one value profile
13,0.656,7254,0.108,0.563,0.749,0.093,0.550,0.534,0.657,0.550,Expanded portfolio hybrid legislature,Public-interest litigation filter,Full anti-capture bundle,weak subsystem floor; weak public alignment; falls far under at least one value profile
14,0.656,7231,0.108,0.563,0.748,0.093,0.550,0.534,0.657,0.550,Expanded portfolio hybrid legislature,Independent recusal enforcement with substitutes,Full anti-capture bundle,weak subsystem floor; weak public alignment; falls far under at least one value profile
15,0.656,6891,0.106,0.563,0.748,0.093,0.554,0.535,0.657,0.554,Expanded portfolio hybrid legislature,Jurisdiction stripping constrained by rights carveouts,Full anti-capture bundle,weak subsystem floor; weak public alignment; falls far under at least one value profile
16,0.656,6886,0.106,0.563,0.748,0.093,0.554,0.535,0.657,0.554,Expanded portfolio hybrid legislature,Nonpartisan commission appointments,Full anti-capture bundle,weak subsystem floor; weak public alignment; falls far under at least one value profile
17,0.656,6408,0.103,0.563,0.748,0.093,0.559,0.534,0.657,0.559,Expanded portfolio hybrid legislature,18-year staggered terms + regular appointments,Full anti-capture bundle,weak subsystem floor; weak public alignment; falls far under at least one value profile
18,0.656,6899,0.106,0.563,0.748,0.093,0.554,0.537,0.657,0.554,Expanded portfolio hybrid legislature,Retention-election accountability court,Full anti-capture bundle,weak subsystem floor; weak public alignment; falls far under at least one value profile
19,0.655,7129,0.107,0.563,0.748,0.093,0.551,0.534,0.657,0.551,Expanded portfolio hybrid legislature,Mandatory written emergency reasoning,Full anti-capture bundle,weak subsystem floor; weak public alignment; falls far under at least one value profile
21,0.655,7785,0.113,0.563,0.748,0.093,0.542,0.535,0.657,0.542,Expanded portfolio hybrid legislature,Judicial electorate selection court,Full anti-capture bundle,weak subsystem floor; weak public alignment; falls far under at least one value profile
22,0.655,6994,0.107,0.563,0.748,0.093,0.553,0.534,0.657,0.553,Expanded portfolio hybrid legislature,Peer recusal + reasoned emergency docket,Full anti-capture bundle,weak subsystem floor; weak public alignment; falls far under at least one value profile
23,0.655,7035,0.107,0.563,0.748,0.093,0.553,0.536,0.657,0.553,Expanded portfolio hybrid legislature,Judicial review with legislative supermajority override,Full anti-capture bundle,weak subsystem floor; weak public alignment; falls far under at least one value profile
24,0.655,7023,0.107,0.563,0.748,0.093,0.553,0.536,0.657,0.553,Expanded portfolio hybrid legislature,Time-limited legislative override window,Full anti-capture bundle,weak subsystem floor; weak public alignment; falls far under at least one value profile
25,0.655,7127,0.107,0.563,0.748,0.093,0.552,0.534,0.657,0.552,Expanded portfolio hybrid legislature,Expanded 15-seat court,Full anti-capture bundle,weak subsystem floor; weak public alignment; falls far under at least one value profile
339,0.638,1,0.050,0.543,0.732,0.094,0.613,0.512,0.657,0.702,Default pass + multi-round mediation + challenge,No emergency relief without merits review,Full anti-capture bundle,weak public alignment; falls far under at least one value profile; throughput-specific default-passage risk
433,0.635,52,0.062,0.537,0.733,0.098,0.601,0.505,0.614,0.814,Default pass unless 2/3 block,No emergency relief without merits review,Democracy vouchers,weak public alignment; falls far under at least one value profile; throughput-specific default-passage risk
738,0.628,504,0.073,0.530,0.726,0.098,0.596,0.501,0.614,0.822,Default pass unless 2/3 block,60 percent invalidation threshold,Democracy vouchers,weak public alignment; falls far under at least one value profile; throughput-specific default-passage risk
11,0.656,1388,0.081,0.562,0.751,0.094,0.604,0.508,0.645,0.604,Expanded portfolio hybrid legislature,No emergency relief without merits review,Budgeted disclosed lobbying,weak public alignment; falls far under at least one value profile
20,0.655,2121,0.085,0.561,0.750,0.094,0.597,0.508,0.645,0.597,Expanded portfolio hybrid legislature,Emergency integrity package,Budgeted disclosed lobbying,weak public alignment; falls far under at least one value profile
155,0.644,1741,0.083,0.552,0.737,0.092,0.639,0.526,0.656,0.670,Unicameral majority + pairwise alternatives,No emergency relief without merits review,Full anti-capture bundle,weak public alignment; falls far under at least one value profile
